30.04.23:10:57:16;18,75;100,00
30.04.23:10:57:21;38,54;000,50
30.04.23:10:57:26;31,85;000,24
30.04.23:10:57:31;28,47;001,35
30.04.23:10:57:36;26,96;003,02
30.04.23:10:57:41;26,48;004,82
30.04.23:10:57:46;26,54;006,55
30.04.23:10:57:51;26,86;008,08
30.04.23:10:57:56;27,28;009,40
30.04.23:10:58:01;27,71;010,51
30.04.23:10:58:06;28,10;011,41
30.04.23:10:58:11;28,45;012,15
30.04.23:10:58:16;28,75;012,75
30.04.23:10:58:21;29,00;013,22
30.04.23:10:58:26;29,20;013,60
30.04.23:10:58:31;29,37;013,90
30.04.23:10:58:36;29,50;014,13
30.04.23:10:58:41;29,61;014,32
30.04.23:10:58:46;29,69;014,47
30.04.23:10:58:51;29,76;014,58
30.04.23:10:58:56;29,81;014,67
30.04.23:10:59:01;29,85;014,74
30.04.23:10:59:06;29,88;014,80
30.04.23:10:59:11;29,91;014,84
30.04.23:10:59:16;29,93;014,88
30.04.23:10:59:21;29,94;014,91
30.04.23:10:59:26;29,96;014,93
30.04.23:10:59:31;29,97;014,94
30.04.23:10:59:36;29,97;014,95
30.04.23:10:59:41;29,98;014,96
30.04.23:10:59:46;29,98;014,97
30.04.23:10:59:51;29,99;014,98
30.04.23:10:59:56;29,99;014,98
30.04.23:11:00:01;29,99;014,99
30.04.23:11:00:06;29,99;014,99
30.04.23:11:00:11;30,00;014,99
30.04.23:11:00:16;30,00;015,00
30.04.23:11:00:21;30,00;015,00
30.04.23:11:00:26;30,00;015,00
30.04.23:11:00:31;30,00;015,00
30.04.23:11:00:36;30,00;015,00
30.04.23:11:00:41;30,00;015,00
30.04.23:11:00:46;30,00;015,00
30.04.23:11:00:51;30,00;015,00
30.04.23:11:00:56;30,00;015,00
30.04.23:11:01:01;30,00;015,00
30.04.23:11:01:06;30,00;015,00
30.04.23:11:01:11;30,00;015,00
30.04.23:11:01:16;30,00;015,00
30.04.23:11:01:21;30,00;015,00
30.04.23:11:01:26;30,00;015,00
30.04.23:11:01:31;30,00;015,00
30.04.23:11:01:36;30,00;015,00
30.04.23:11:01:41;30,00;015,00
30.04.23:11:01:46;30,00;015,00
30.04.23:11:01:51;30,00;015,00
30.04.23:11:01:56;30,00;015,00
30.04.23:11:02:01;30,00;015,00
30.04.23:11:02:06;30,00;015,00
30.04.23:11:02:11;30,00;015,00
30.04.23:11:02:16;30,00;015,00
30.04.23:11:02:21;30,00;015,00
30.04.23:11:02:26;30,00;015,00
30.04.23:11:02:31;30,00;015,00
30.04.23:11:02:36;30,00;015,00
30.04.23:11:02:41;30,00;015,00
30.04.23:11:02:46;30,00;015,01
30.04.23:11:02:51;30,00;014,98
30.04.23:11:02:56;30,00;015,00
30.04.23:11:03:01;30,00;015,00
30.04.23:11:03:06;30,00;015,00
30.04.23:11:03:11;30,00;015,00
30.04.23:11:03:16;30,00;015,00
30.04.23:11:03:21;30,00;015,00
30.04.23:11:03:26;30,00;015,00
30.04.23:11:03:31;30,00;015,00
30.04.23:11:03:36;30,00;015,00
30.04.23:11:03:41;30,00;015,00
30.04.23:11:03:46;30,00;015,00
30.04.23:11:03:51;30,00;015,00
30.04.23:11:03:56;30,00;015,00
30.04.23:11:04:01;30,00;015,00
30.04.23:11:04:06;30,00;015,00
30.04.23:11:04:11;30,00;015,00
30.04.23:11:04:16;30,00;015,00
30.04.23:11:04:21;30,00;015,00
30.04.23:11:04:26;30,00;015,00
30.04.23:11:04:31;30,00;015,02
30.04.23:11:04:36;30,00;015,00
30.04.23:11:04:41;30,00;015,00
30.04.23:11:04:46;30,00;015,00
30.04.23:11:04:51;30,00;015,00
30.04.23:11:04:56;30,00;015,00
30.04.23:11:05:01;30,00;015,00
30.04.23:11:05:06;30,00;015,00
30.04.23:11:29:31;18,75;100,00
30.04.23:11:29:36;38,54;000,50
30.04.23:11:29:41;31,85;000,24
30.04.23:11:29:46;28,47;001,35
30.04.23:11:29:51;26,96;003,02
30.04.23:11:29:56;26,48;004,82
30.04.23:11:30:01;26,54;006,55
30.04.23:11:30:06;26,86;008,08
30.04.23:11:30:11;27,28;009,40
30.04.23:11:30:16;27,71;010,51
30.04.23:11:30:21;28,10;011,41
